운동명,단위체중당에너지소비량,운동목적,운동강도,운동목적_리스트
레터럴 레이즈,5.0,체력 향상,중강도,['체력 향상']
승마(천천히),3.8,스트레스 해소,중강도,['스트레스 해소']
승마(빠르게),5.8,체력 향상,중강도,['체력 향상']
타바타운동,9.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
마이마운틴,5.5,체력 향상,중강도,['체력 향상']
로드자전거(중강도),8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
누워서 걷기,3.5,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
테스트(중구보건소),13.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
W익스텐션,4.0,체력 향상,중강도,['체력 향상']
킥복싱,5.0,체력 향상,중강도,['체력 향상']
백 스쿼트,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
15초인터벌트레이닝!,8.8,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
스쿼트 덤벨 프레스,7.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
고전무용,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
평행봉,5.5,체력 향상,중강도,['체력 향상']
스티프 레그 데드리프트,8.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
수중 걷기,3.5,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
덤벨 숄더프레스,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
철봉매달리기,3.8,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
트라이셉스 익스텐션,5.0,체력 향상,중강도,['체력 향상']
펙덱 플라이,5.5,체력 향상,중강도,['체력 향상']
벤치 프레스,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
스케이팅,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
짐볼운동,3.8,스트레스 해소,중강도,['스트레스 해소']
108배,2.0,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
덤벨 플라이,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
버피테스트,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
"주짓수_훈련, 연습",5.3,체력 향상,중강도,['체력 향상']
패들보드,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
국궁,4.3,체력 향상,중강도,['체력 향상']
기체조,4.5,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
러시안트위스트,4.0,체력 향상,중강도,['체력 향상']
일립티컬,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
크로스 크런치,4.5,체력 향상,중강도,['체력 향상']
아쉬탕가 요가,5.0,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
슈퍼맨로우,4.0,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
딥스,5.5,체력 향상,중강도,['체력 향상']
악력기 운동,1.3,스트레스 해소,저강도,['스트레스 해소']
버드독,3.8,스트레스 해소,중강도,['스트레스 해소']
컨벤셔널 데드리프트,8.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
탁구시합,5.0,스트레스 해소,중강도,['스트레스 해소']
EMS트레이닝,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
데드버그,4.0,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
인라인스케이트,5.0,체력 향상,중강도,['체력 향상']
사이드 플랭크,3.8,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
고블릿 스쿼트,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
AB 롤아웃,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
SNPE,5.0,체력 향상,중강도,['체력 향상']
로드바이크,8.5,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
플로터킥,5.0,체력 향상,중강도,['체력 향상']
사이드 레그레이즈,4.0,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
벽 스쿼트,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
TRX 운동,7.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
월볼샷,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
시티드 니업,5.0,체력 향상,중강도,['체력 향상']
데드 리프트,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
벤치딥스,3.0,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
고양이자세,3.5,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
프론트 풀다운,4.0,체력 향상,중강도,['체력 향상']
픽시자전거,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
노르딕워킹,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
난타,3.8,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
프론트 레이즈,5.0,체력 향상,중강도,['체력 향상']
사이드 레터럴 레이즈,5.0,체력 향상,중강도,['체력 향상']
제자리 걷기,2.0,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
필라테스,3.0,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
양팔벌려 제자리 뛰기(PT체조),3.0,스트레스 해소,저강도,['스트레스 해소']
정구 단식경기(일반적인),7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
정구 복식경기,5.0,체력 향상,중강도,['체력 향상']
(SUP)서핑,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
딥다라인 댄스,3.0,"스트레스 해소, 체력 향상",저강도,"['스트레스 해소', '체력 향상']"
로우,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
풀업(턱걸이),5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
레그 킥 백,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
프리다이빙,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
힙 쓰러스트,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
스플릿 스쿼트,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
새천년체조,3.5,스트레스 해소,저강도,['스트레스 해소']
훌라후프,4.0,체력 향상,중강도,['체력 향상']
번지피지오,5.0,체력 향상,중강도,['체력 향상']
wty운동,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
스텝퍼,5.0,체력 향상,중강도,['체력 향상']
